elapsed_sec,MotorRPM,Speed,Speed_kmh,Distance_km
0.0,0,-1,-0.1143,-0.0
0.9,0,-1,-0.1143,-2.8575e-05
1.1,0,-1,-0.1143,-3.4925e-05
1.8,0,-1,-0.1143,-5.715e-05
1.833,0,-1,-0.1143,-5.819775e-05
2.0,0,-1,-0.1143,-6.35e-05
2.2,0,-1,-0.1143,-6.985e-05
2.405,0,-1,-0.1143,-7.635874999999999e-05
2.701,0,-1,-0.1143,-8.575675e-05
2.9,0,-1,-0.1143,-9.207499999999999e-05
3.004,0,-1,-0.1143,-9.537699999999999e-05
3.501,0,-1,-0.1143,-0.00011115674999999999
3.599,0,-1,-0.1143,-0.00011426825
3.704,0,-1,-0.1143,-0.000117602
3.999,0,-1,-0.1143,-0.00012696825
4.147,0,-1,-0.1143,-0.00013166725000000003
4.2,0,-1,-0.1143,-0.00013335000000000002
4.403,0,-1,-0.1143,-0.00013979525
4.601,0,-1,-0.1143,-0.00014608175
4.7,0,-1,-0.1143,-0.000149225
4.899,0,-1,-0.1143,-0.00015554325000000002
5.0,0,-1,-0.1143,-0.00015875
5.137,0,-1,-0.1143,-0.00016309975
5.4,0,-1,-0.1143,-0.00017145000000000002
5.5,0,-1,-0.1143,-0.000174625
5.598,0,-1,-0.1143,-0.0001777365
5.701,0,-1,-0.1143,-0.00018100674999999998
5.702,0,-1,-0.1143,-0.0001810385
5.999,0,-1,-0.1143,-0.00019046824999999998
6.137,0,-1,-0.1143,-0.00019484975
6.199,0,-1,-0.1143,-0.00019681825
6.401,0,-1,-0.1143,-0.00020323175
6.499,0,-1,-0.1143,-0.00020634324999999998
6.6,0,-1,-0.1143,-0.00020954999999999997
6.7,0,-1,-0.1143,-0.00021272499999999998
6.801,0,-1,-0.1143,-0.00021593174999999997
6.899,0,-1,-0.1143,-0.00021904324999999996
7.099,0,-1,-0.1143,-0.00022539324999999998
7.117,0,-1,-0.1143,-0.00022596474999999998
7.399,0,-1,-0.1143,-0.00023491824999999998
7.5,0,-1,-0.1143,-0.00023812499999999997
7.599,0,-1,-0.1143,-0.00024126824999999997
7.702,0,-1,-0.1143,-0.0002445385
7.799,0,-1,-0.1143,-0.00024761825
7.8,0,-1,-0.1143,-0.00024765
7.999,0,-1,-0.1143,-0.00025396824999999995
8.127,0,-1,-0.1143,-0.00025803225
8.199,0,-1,-0.1143,-0.00026031825
8.401,0,-1,-0.1143,-0.00026673174999999996
8.498,0,-1,-0.1143,-0.00026981149999999996
8.5,0,-1,-0.1143,-0.000269875
8.7,0,-1,-0.1143,-0.00027622499999999995
8.801,0,-1,-0.1143,-0.00027943175
8.899,0,-1,-0.1143,-0.00028254325
9.099,0,-1,-0.1143,-0.00028889325
9.117,0,-1,-0.1143,-0.00028946475
9.198,0,-1,-0.1143,-0.0002920365
9.199,0,-1,-0.1143,-0.00029206824999999996
9.399,0,-1,-0.1143,-0.0002984182499999999
9.5,0,-1,-0.1143,-0.00030162499999999997
9.598,0,-1,-0.1143,-0.0003047365
