Manufacturere_Part_Number;Description;Designator;Quantity;Manufacturer_Name;Footprint;Comment
885012006053;;C_Ant;1;Wurth Elektronik;;
885012109011;;C_Comp1, C_Comp2;2;Wurth Elektronik;;
150060YS75000;Yellow;D_Mode;1;Wurth Elektronik;;
150060RS75000;Red;D_Power;1;Wurth Elektronik;;
150060VS75000;Bright Green;D_Status;1;Wurth Elektronik;;
434781025816;;S_Reset, S_Sync;2;Wurth Elektronik;;
2610011025000;;Calypso;1;Wuerth Elektronik;;
61300311121;;J_AppMode0, J_AppMode1;2;Wuerth Elektronik;;
62202821121;;J_Bus;1;Wuerth Elektronik;;
693071020811;;J_SD;1;Wuerth Elektronik;;
0603WAJ0104T5E;;R_Mode1, R_Status1;3;Royalohm;;
0603WAJ0222T5E;;R_Mode2, R_Status2, R_Power;2;Royalohm;;
0603WAJ0221T5E;;R_Mode3, R_Status3;2;Royalohm;;
CQ03SAF4701T5E;;R_Reset;1;Royalohm;;
73251-1350;RF Connectors / Coaxial Connectors SMA ST PCB-JCK STD SMT;J_Ant;1;Molex;;
IRF7313TRPBFXTMA1;;Q_LEDs;1;Infineon;;
746;;GNSS;1;Adafruit;;
